op      N         DRAM%     DRAM GB/s  SM%     L2%     L1%     Mop/s    
find    1000      3.4       8.2        5.6     1.4     5.6     29.4     
find    10000     26.9      70.1       24.2    8.8     24.2    271.0    
find    100000    60.6      154.3      62.6    19.7    62.6    758.9    
find    1000000   52.4      134.4      66.7    15.8    66.7    791.6    
find    2000000   49.4      114.7      63.0    15.7    61.5    621.3    
insert  1000      1.9       4.9        3.8     2.9     3.8     15.3     
insert  10000     7.2       18.4       21.9    19.3    22.7    129.9    
insert  100000    16.9      43.6       44.2    38.5    46.5    271.7    
insert  1000000   26.1      61.1       52.5    44.6    52.9    276.0    
insert  2000000   27.6      69.7       50.5    42.0    50.5    269.6    
wrote fig9_dram_schmoo.png
